gene,control_rep3,exp_rep3,control_rep1,exp_rep2,control_rep2,exp_rep1
ENSG00000249951.1,0,0,1,0,0,0
ENSG00000249599.2,13,7,10,2,10,5
ENSG00000138696.11,1339,987,1205,789,1018,918
ENSG00000182168.16,13018,8881,10417,5768,10170,6178
ENSG00000271474.1,157,81,132,87,108,68
ENSG00000242936.1,0,0,0,0,0,0
ENSG00000163114.6,0,0,0,1,0,0
ENSG00000200622.1,0,0,0,0,0,0
ENSG00000201744.1,0,0,0,0,0,0
ENSG00000250655.1,0,0,0,0,0,0
ENSG00000248510.2,0,0,1,0,0,0
ENSG00000201640.2,0,0,0,0,0,0
ENSG00000287841.1,1,0,0,0,0,0
ENSG00000236764.4,2,0,0,2,0,1
ENSG00000253170.1,0,0,0,0,0,0
ENSG00000163116.10,6,10,6,8,8,12
ENSG00000254044.5,1,3,0,1,0,0
ENSG00000251620.3,0,0,0,0,0,1
ENSG00000250293.1,0,0,0,0,0,0
ENSG00000242697.2,15,23,9,18,15,13
ENSG00000214904.5,0,0,0,0,0,0
ENSG00000214559.3,0,3,0,2,0,0
ENSG00000289532.2,27,24,15,17,14,15
ENSG00000138698.15,5452,4407,4748,4492,4135,4495
ENSG00000242318.1,1,0,0,0,0,1
ENSG00000168785.8,2916,2419,2495,2054,2124,2006
ENSG00000251523.1,0,0,1,0,0,0
ENSG00000260641.2,61,29,36,21,35,24
ENSG00000249764.1,0,0,0,0,0,0
ENSG00000227118.3,3,6,1,6,4,1
ENSG00000151247.13,9863,8583,8538,8964,7300,9779
ENSG00000249055.1,2,1,1,2,0,4
ENSG00000263923.1,1,0,0,0,1,0
ENSG00000214886.4,0,0,0,0,0,0
ENSG00000287512.1,0,0,0,2,0,0
ENSG00000252548.1,0,0,0,0,0,0
ENSG00000251437.1,0,0,0,0,0,0
ENSG00000164024.12,8415,6422,6770,7507,5955,7631
ENSG00000265213.1,0,0,0,0,0,1
ENSG00000250496.2,0,0,0,0,0,0
ENSG00000272777.1,72,55,38,68,57,85
ENSG00000197894.12,31252,27702,26099,27995,22555,28794
ENSG00000246090.9,136,79,101,83,70,109
ENSG00000198099.10,2,3,1,5,0,2
ENSG00000293361.1,0,0,0,0,0,0
ENSG00000249065.3,0,0,0,0,0,0
ENSG00000172955.17,73,53,47,43,36,39
ENSG00000187758.8,17,11,9,7,14,5
ENSG00000196616.15,65,40,42,19,26,22
ENSG00000248144.6,83,87,55,39,66,60
ENSG00000196344.12,0,0,0,0,0,0
ENSG00000250300.1,0,0,0,0,0,0
ENSG00000138813.10,0,1,3,5,4,3
ENSG00000145331.14,1164,838,925,978,800,1148
ENSG00000138823.14,11559,9229,9994,13622,7973,13361
ENSG00000248676.1,9,3,4,7,2,6
ENSG00000248713.2,2,0,0,0,2,0
ENSG00000070190.13,4,0,3,7,5,6
ENSG00000279913.1,0,0,0,0,0,0
ENSG00000109270.13,4031,3212,3396,3491,2960,3927
ENSG00000164031.17,4330,3327,4173,4023,3185,4756
ENSG00000279098.1,1,0,0,0,2,0
ENSG00000164032.12,33732,30783,27023,26109,25000,27598
ENSG00000245322.8,17,15,15,15,10,15
ENSG00000250403.1,0,2,1,4,4,2
ENSG00000248820.2,0,0,0,0,0,0
ENSG00000145358.6,767,672,652,885,573,746
ENSG00000249710.1,0,0,0,0,1,0
ENSG00000164035.10,0,5,1,9,1,4
ENSG00000286150.1,0,0,0,0,0,0
ENSG00000250223.1,0,0,1,0,0,0
ENSG00000251219.2,0,0,0,0,0,0
ENSG00000251636.1,3,0,0,0,0,0
ENSG00000138814.17,10224,8354,8610,7324,7990,8930
ENSG00000273882.1,0,0,0,0,1,0
ENSG00000221265.1,0,0,0,0,0,0
ENSG00000254531.3,281,299,212,220,212,176
ENSG00000153064.12,120,66,91,59,88,67
ENSG00000286124.1,0,0,0,0,0,0
ENSG00000199529.1,0,0,0,0,0,0
ENSG00000251149.1,0,0,0,0,0,0
ENSG00000251309.1,0,0,0,0,0,0
ENSG00000138821.14,2796,1946,2226,1024,2178,1099
ENSG00000241144.3,0,0,0,0,0,0
ENSG00000248161.5,51,34,36,22,32,27
ENSG00000251572.2,0,0,0,0,0,0
ENSG00000260651.1,0,1,1,4,1,2
ENSG00000109320.14,3491,2759,2899,3465,2452,3248
ENSG00000109323.11,17396,13938,13958,14989,12283,15835
ENSG00000241981.2,2,0,1,3,1,3
ENSG00000230069.3,4,6,10,5,4,5
ENSG00000248971.2,34,31,40,44,41,40
ENSG00000224207.3,0,1,0,0,1,1
ENSG00000251288.2,2,4,3,3,1,0
ENSG00000109332.20,39458,33157,32735,33324,29067,36255
ENSG00000286242.1,5,2,8,7,7,8
ENSG00000246560.3,102,113,105,127,78,125
ENSG00000252739.1,0,0,1,0,0,0
ENSG00000145354.12,3703,3102,3189,3138,2826,3903
ENSG00000164037.17,53,33,42,46,32,22
ENSG00000250651.1,3,2,3,8,1,0
ENSG00000249283.3,0,0,0,0,0,0
ENSG00000164038.16,1531,1305,1316,1327,1175,1369
ENSG00000164039.15,3803,3090,3188,3858,2766,3603
ENSG00000138778.14,5708,4303,4886,6503,3847,6115
ENSG00000248740.8,19,6,6,18,5,19
ENSG00000251577.5,22,16,27,48,11,65
ENSG00000250920.3,0,1,0,0,0,0
ENSG00000251571.1,0,0,0,0,0,0
ENSG00000169836.5,120,127,147,120,92,106
ENSG00000286291.1,0,0,0,2,2,0
ENSG00000252460.1,0,0,0,0,0,0
ENSG00000249614.2,0,0,0,0,0,0
ENSG00000251170.6,0,0,0,0,0,0
ENSG00000168772.12,929,606,758,621,547,647
ENSG00000245384.2,10,0,3,2,2,1
ENSG00000250670.1,0,0,0,0,0,0
ENSG00000248242.1,0,0,0,0,0,0
ENSG00000244470.2,0,0,0,0,0,0
ENSG00000248373.7,0,1,2,2,0,2
ENSG00000251906.2,0,0,0,0,0,0
ENSG00000276992.1,0,0,0,0,0,0
ENSG00000251473.2,0,0,0,0,0,0
ENSG00000252136.1,0,0,0,0,0,0
ENSG00000251259.1,7,5,3,4,4,11
ENSG00000168769.14,2169,1575,2119,2248,1479,2185
ENSG00000251586.1,0,0,0,0,0,0
ENSG00000243383.3,0,0,0,0,0,0
ENSG00000138777.20,6654,5843,5390,5937,4798,6514
ENSG00000200917.1,0,0,0,0,0,0
ENSG00000249264.1,585,999,540,867,574,533
ENSG00000216425.4,0,0,0,1,0,0
ENSG00000250922.1,0,0,0,0,0,0
ENSG00000250522.1,0,0,3,3,0,0
ENSG00000236699.9,58,35,77,91,38,83
ENSG00000249885.1,0,0,0,0,1,1
ENSG00000248778.1,0,0,0,0,0,0
ENSG00000138785.16,1952,1733,1621,1780,1542,1891
ENSG00000138780.15,3823,3105,3330,3733,2726,3768
ENSG00000251175.5,0,2,4,1,0,4
ENSG00000168743.13,621,403,559,588,395,405
ENSG00000250740.1,0,1,0,0,0,0
ENSG00000249635.1,0,1,2,3,2,2
ENSG00000145348.17,2753,2250,2516,2459,1985,2488
ENSG00000164022.18,6688,5039,5654,5966,4708,6145
ENSG00000250298.6,0,0,0,0,0,1
ENSG00000249613.2,0,0,0,0,0,0
ENSG00000286147.1,0,0,0,2,0,0
ENSG00000248915.2,0,0,0,0,0,0
ENSG00000155011.9,37,36,43,38,34,33
ENSG00000213522.4,9,1,8,7,2,3
ENSG00000251081.1,0,0,0,0,0,0
ENSG00000252470.1,0,0,0,0,0,0
ENSG00000138801.9,23237,19565,19947,24712,17050,23964
ENSG00000164023.15,1331,1014,1166,1381,982,1664
ENSG00000245293.5,8,11,8,5,7,8
ENSG00000222691.1,0,0,0,0,0,0
ENSG00000155016.18,1381,1348,1217,1276,1139,1239
ENSG00000249604.1,1,0,0,0,0,3
ENSG00000138796.18,7646,6073,6233,5968,5562,6129
ENSG00000138795.10,270,224,219,276,171,253
ENSG00000232021.9,2,3,3,0,1,0
ENSG00000239939.1,0,0,0,0,0,0
ENSG00000278589.1,0,0,0,0,0,0
ENSG00000250485.1,0,0,0,0,0,0
ENSG00000234492.6,18,15,17,11,11,9
ENSG00000109475.17,43071,41535,35701,40532,30652,37115
ENSG00000198856.13,15348,12952,12815,13432,11106,15022
ENSG00000206601.1,1,0,1,7,1,0
ENSG00000286136.2,14,13,22,16,8,14
ENSG00000164089.9,7,10,3,8,3,5
ENSG00000249257.1,0,0,0,0,0,0
ENSG00000250185.2,1,0,0,0,2,2
ENSG00000188517.17,54,25,43,53,38,44
ENSG00000246774.1,1,0,0,1,0,1
ENSG00000249465.1,17,8,4,19,7,9
ENSG00000247950.9,62,99,81,89,62,105
ENSG00000138802.11,5814,4554,5093,5942,4113,5572
ENSG00000243227.3,0,0,0,0,0,0
ENSG00000207988.1,1,0,0,0,0,0
ENSG00000225094.3,1,1,1,4,2,1
ENSG00000249965.2,0,0,0,1,0,2
ENSG00000005059.16,361,279,271,219,225,259
ENSG00000248785.1,5,11,5,7,4,10
ENSG00000138794.10,5243,4774,4465,5541,3900,5889
ENSG00000273447.1,13,11,12,14,20,15
ENSG00000123739.11,2842,2286,2539,2325,2142,2485
ENSG00000285330.1,0,0,0,0,0,0
ENSG00000205403.15,19,6,15,24,10,19
ENSG00000272795.1,3,1,2,2,1,0
ENSG00000109534.17,2652,2289,2197,2043,1912,2320
ENSG00000180245.7,8,16,19,13,13,5
ENSG00000183423.12,8,7,12,8,5,15
ENSG00000249681.2,1,4,0,4,0,1
ENSG00000138798.13,32,29,40,46,27,53
ENSG00000207260.1,0,0,0,0,0,0
ENSG00000170522.10,16029,13215,13718,15558,11612,15802
ENSG00000263940.2,0,0,0,0,0,0
ENSG00000248200.2,0,0,0,0,0,3
ENSG00000288913.2,62,71,54,81,53,58
ENSG00000166530.8,0,4,1,3,1,1
ENSG00000250594.2,0,0,0,0,0,0
ENSG00000212160.1,0,0,0,0,0,0
ENSG00000250304.2,0,5,0,0,0,0
ENSG00000138792.10,135,101,136,143,104,160
ENSG00000251464.2,0,0,0,0,0,1
ENSG00000251046.2,2,0,0,1,1,0
ENSG00000199894.1,0,0,0,0,1,0
ENSG00000250511.1,49,37,37,51,24,40
ENSG00000250103.3,77,73,97,88,78,104
ENSG00000164093.18,5018,5134,4155,5533,3322,5036
ENSG00000289096.1,25,22,22,25,10,35
ENSG00000249519.1,0,0,0,1,0,1
ENSG00000215961.1,0,0,0,0,0,0
ENSG00000288692.1,0,0,0,1,0,0
ENSG00000251483.2,0,4,1,2,0,0
ENSG00000251312.2,0,0,0,0,0,0
ENSG00000200963.1,0,0,0,0,0,0
ENSG00000248656.3,0,0,1,0,1,0
ENSG00000241722.2,0,0,0,0,0,0
ENSG00000250855.2,0,0,0,0,0,0
ENSG00000249815.2,2,0,0,3,0,0
ENSG00000288691.1,1,0,0,0,0,0
ENSG00000288685.1,2,0,0,1,0,0
ENSG00000250556.1,0,0,0,0,0,0
ENSG00000250307.2,0,0,0,0,0,0
ENSG00000240459.2,3,6,4,5,2,2
ENSG00000174749.6,31,29,22,27,16,37
ENSG00000243280.2,0,0,0,0,0,0
ENSG00000260526.1,75,63,79,46,44,80
ENSG00000138660.12,2509,1869,2103,2351,1761,2461
ENSG00000145365.12,940,792,852,969,737,971
ENSG00000073331.18,169,128,140,194,109,169
ENSG00000251441.4,2,0,0,0,0,3
ENSG00000293208.1,0,0,0,0,0,0
ENSG00000248697.1,3,9,3,5,4,3
ENSG00000178403.4,1,0,1,1,1,1
ENSG00000249509.1,0,0,0,0,0,2
ENSG00000248439.2,0,0,0,0,0,0
ENSG00000138658.16,734,441,613,623,551,642
ENSG00000250966.2,69,101,65,70,58,63
ENSG00000174720.18,2718,1943,2153,2455,1751,2436
ENSG00000249532.6,4,0,2,3,0,1
ENSG00000199169.1,0,0,0,0,0,0
ENSG00000199145.1,0,0,0,0,0,0
ENSG00000207927.1,0,0,0,0,0,0
ENSG00000199102.1,0,0,0,0,0,0
ENSG00000284463.1,0,0,0,0,0,0
ENSG00000220924.4,2,3,1,8,3,2
ENSG00000250046.3,0,0,0,0,0,1
ENSG00000248633.1,2,1,1,0,2,2
ENSG00000241002.1,1,0,1,0,2,0
ENSG00000202536.2,0,0,0,0,0,0
ENSG00000241741.1,107,122,91,122,78,99
ENSG00000250500.1,0,0,0,0,0,0
ENSG00000145362.21,311,229,264,197,210,181
ENSG00000234841.4,0,0,0,0,0,0
ENSG00000251126.2,0,0,0,0,0,0
ENSG00000228814.4,0,0,0,0,0,0
ENSG00000248152.2,1,2,3,0,1,1
ENSG00000249373.2,0,0,0,0,0,0
ENSG00000283193.1,0,0,0,0,0,0
ENSG00000275810.1,0,0,0,0,0,0
ENSG00000196656.8,26,36,11,36,28,25
ENSG00000293227.1,0,0,0,0,0,0
ENSG00000145349.20,18675,13951,16928,20047,13446,20892
ENSG00000239279.3,0,0,0,1,0,0
ENSG00000206820.1,0,0,0,0,0,0
ENSG00000250229.1,0,1,1,0,0,0
ENSG00000180801.14,940,994,811,1682,654,1606
ENSG00000249304.1,2,2,4,3,3,7
ENSG00000248716.2,0,0,0,0,0,0
ENSG00000288781.2,9,14,9,3,3,4
ENSG00000174607.11,6118,5209,5192,8819,4243,9949
ENSG00000207931.1,0,0,0,0,0,0
ENSG00000250215.1,0,1,0,0,0,1
ENSG00000240637.3,0,0,0,0,0,0
ENSG00000138653.10,14,7,15,3,14,6
ENSG00000251308.1,0,0,0,0,1,0
ENSG00000250693.2,0,0,0,0,0,0
ENSG00000248488.2,0,0,0,0,0,0
ENSG00000250363.1,0,6,4,4,0,3
ENSG00000293005.1,0,0,0,0,0,0
ENSG00000250442.1,1,0,0,1,0,0
ENSG00000249259.4,0,0,0,0,0,0
ENSG00000250627.2,0,0,0,0,0,0
ENSG00000284253.1,0,0,0,0,0,0
ENSG00000250272.1,0,0,0,0,0,0
ENSG00000248139.2,0,0,0,0,0,0
ENSG00000250791.2,0,0,0,2,0,0
ENSG00000213493.3,14,10,3,8,5,7
ENSG00000287845.1,0,0,0,0,0,0
ENSG00000287520.1,0,0,0,0,0,0
ENSG00000287290.1,0,1,0,0,0,0
ENSG00000286637.1,0,0,0,0,0,0
ENSG00000201752.1,0,0,0,0,0,0
ENSG00000271053.1,1,0,0,0,0,1
ENSG00000174599.5,249,183,258,217,203,243
ENSG00000223605.1,0,0,0,0,0,0
ENSG00000224932.2,0,0,0,0,0,0
ENSG00000228358.7,1,0,0,0,0,0
ENSG00000236922.10,0,1,1,4,1,0
ENSG00000237684.1,1,0,0,0,0,0
ENSG00000293004.1,6,7,6,11,8,11
ENSG00000213492.3,0,0,0,0,0,0
ENSG00000286269.1,10,12,8,15,9,14
ENSG00000288921.1,0,2,0,3,0,1
ENSG00000229565.2,1,0,0,0,0,0
ENSG00000164100.9,682,601,613,617,490,669
ENSG00000251463.2,1,0,0,0,0,2
ENSG00000269893.10,2971,2685,2519,2840,2213,2723
ENSG00000275994.1,0,0,0,0,0,0
ENSG00000164099.3,7655,6696,6602,11345,5323,11533
ENSG00000230671.2,0,0,0,0,0,0
ENSG00000273716.2,57,72,38,80,35,46
ENSG00000154608.14,42,29,40,39,39,31
ENSG00000291201.1,481,360,351,470,329,400
ENSG00000260404.6,0,0,0,0,0,0
ENSG00000223225.1,0,0,0,0,0,0
ENSG00000248213.3,47,30,45,71,38,40
ENSG00000251155.2,16,6,14,10,7,6
ENSG00000281731.3,25,10,13,22,7,14
ENSG00000145388.15,3223,2306,2719,2858,2272,2748
ENSG00000150961.15,4334,3333,3984,4822,2808,4086
ENSG00000172403.11,125,233,157,417,63,310
ENSG00000249002.2,0,0,0,0,0,0
ENSG00000172399.6,8,11,8,28,6,22
ENSG00000293254.1,5,0,0,6,0,5
ENSG00000178636.9,0,0,0,0,0,0
ENSG00000145390.12,3808,2426,3297,3460,2788,3498
ENSG00000164096.13,8342,7693,6949,7400,6031,7564
ENSG00000145384.4,0,0,1,0,0,1
ENSG00000250412.1,28,19,17,13,13,12
ENSG00000201186.1,0,0,0,0,0,0
ENSG00000249244.1,57,58,60,58,51,54
ENSG00000291202.1,470,362,365,392,346,367
ENSG00000260091.1,0,0,0,0,0,0
ENSG00000223208.1,0,0,0,0,2,0
ENSG00000283050.5,0,0,0,0,0,0
ENSG00000291203.1,707,514,547,601,503,597
ENSG00000250950.1,3,1,1,3,6,3
ENSG00000245958.9,0,0,0,0,0,0
ENSG00000138735.16,10648,7865,9417,8040,7663,7709
ENSG00000221245.1,0,0,0,1,0,0
ENSG00000286241.1,1,0,0,0,0,0
ENSG00000250772.6,0,0,0,0,0,0
ENSG00000250183.2,0,0,0,0,0,0
ENSG00000250392.2,2,1,0,0,1,0
ENSG00000200553.1,0,0,0,0,0,0
ENSG00000253825.1,2,1,0,2,1,0
ENSG00000164109.14,7866,6738,6935,6574,5624,7491
ENSG00000250938.8,17,14,11,18,14,13
ENSG00000250219.2,0,0,0,0,0,0
ENSG00000225665.4,0,0,0,0,0,1
ENSG00000249409.1,0,0,1,0,0,0
ENSG00000138738.11,879,736,793,960,642,913
ENSG00000212359.1,0,0,0,0,0,0
ENSG00000251609.2,12,12,18,29,11,14
ENSG00000173376.14,513,439,472,574,311,464
ENSG00000223006.1,0,0,0,0,0,0
ENSG00000250344.1,0,0,0,1,1,0
ENSG00000271302.1,0,0,0,0,0,0
ENSG00000050730.16,4,4,4,5,0,3
ENSG00000252183.1,0,0,0,0,1,0
ENSG00000186867.11,4,10,8,2,11,3
ENSG00000207148.1,0,0,0,0,0,0
ENSG00000213480.3,0,2,0,1,0,1
ENSG00000224062.4,0,0,0,0,0,0
ENSG00000164111.15,32236,27482,26111,26108,22542,29808
ENSG00000164112.14,0,0,0,2,0,0
ENSG00000226757.2,0,0,0,0,0,0
ENSG00000123737.13,4776,3901,3823,3833,3298,3800
ENSG00000145386.11,9943,8288,8453,7663,7505,8134
ENSG00000138686.10,1882,1395,1523,1789,1292,1667
ENSG00000261501.1,0,0,0,0,0,0
ENSG00000138741.11,83,100,84,160,62,169
ENSG00000289342.2,1,2,1,0,0,0
ENSG00000237868.1,1,2,1,2,0,2
ENSG00000241037.3,0,0,0,0,0,0
ENSG00000138688.17,4169,2699,3975,4826,3057,4377
ENSG00000164113.11,0,0,2,0,0,0
ENSG00000109471.5,0,0,0,0,0,0
ENSG00000138684.9,0,0,0,0,0,0
ENSG00000227145.2,0,0,1,1,0,2
ENSG00000287692.1,0,0,0,0,0,0
ENSG00000293471.1,26,27,30,26,26,29
ENSG00000224786.4,0,0,0,0,0,0
ENSG00000181004.10,754,525,582,601,496,546
ENSG00000244083.1,0,0,0,0,0,0
ENSG00000138685.18,255,258,352,415,205,425
ENSG00000240775.1,0,0,0,0,0,0
ENSG00000273007.2,17,13,22,33,17,25
ENSG00000170917.14,178,164,132,173,118,128
ENSG00000145375.9,1146,868,1015,973,752,975
ENSG00000250322.2,2,0,0,0,0,0
ENSG00000287951.1,5,4,4,8,5,1
ENSG00000164056.11,2220,2288,1946,2695,1388,2708
ENSG00000249125.2,0,0,0,0,0,0
ENSG00000251526.1,2,1,1,0,0,5
ENSG00000249464.8,110,142,111,117,84,140
ENSG00000226655.1,0,0,0,0,0,0
ENSG00000228489.1,0,0,0,1,0,0
ENSG00000250458.2,0,0,0,0,0,0
ENSG00000286700.1,0,0,2,0,0,1
ENSG00000250484.2,0,0,0,0,0,0
ENSG00000249837.1,0,0,0,0,0,0
ENSG00000286734.1,2,3,1,0,3,0
ENSG00000248506.1,0,0,0,0,0,0
ENSG00000248565.2,1,1,0,0,0,1
ENSG00000261083.3,0,1,1,2,2,0
ENSG00000151458.12,4113,2952,3595,3866,3040,4009
ENSG00000196159.14,186,144,177,239,120,189
ENSG00000201297.1,0,0,0,0,0,0
ENSG00000283550.1,0,0,0,0,0,0
ENSG00000250149.2,0,0,0,0,0,0
ENSG00000251436.2,0,0,0,0,0,0
ENSG00000249555.2,0,0,0,0,0,0
ENSG00000251649.2,0,0,0,0,0,0
ENSG00000251005.1,0,0,0,0,0,0
ENSG00000286251.2,0,0,1,0,0,0
ENSG00000223620.3,0,0,0,0,0,0
ENSG00000289869.1,0,0,0,0,0,0
ENSG00000199862.1,0,0,0,0,0,0
ENSG00000250945.1,0,0,0,0,0,0
ENSG00000248491.6,0,0,0,1,0,0
ENSG00000287101.1,0,0,0,0,0,0
ENSG00000248209.1,0,0,0,0,0,0
ENSG00000249795.1,0,0,0,0,0,0
ENSG00000287021.1,1,1,1,0,1,0
ENSG00000164066.13,1507,1063,1410,1493,1158,1511
ENSG00000151475.6,0,0,0,0,0,0
ENSG00000164070.12,3805,3539,3230,4034,2608,4336
ENSG00000282855.1,1,3,4,1,4,1
ENSG00000244021.4,14,8,10,3,2,6
ENSG00000261668.1,9,4,3,6,1,4
ENSG00000142731.11,2809,1963,2360,2342,2024,2394
ENSG00000251821.1,4,0,2,0,0,1
ENSG00000164073.11,1183,960,991,1138,843,1127
ENSG00000164074.17,1254,909,1094,1230,947,1140
ENSG00000138709.20,3026,2194,2544,2634,2186,2682
ENSG00000241651.4,11,12,6,14,12,8
ENSG00000248394.1,1,1,1,0,0,1
ENSG00000164040.18,10437,8908,8958,9036,7667,9837
ENSG00000251432.8,42,25,33,34,19,35
ENSG00000273077.1,3,2,2,0,0,2
ENSG00000248187.1,0,3,4,1,3,1
ENSG00000248802.1,0,0,1,0,0,0
ENSG00000289243.1,0,0,0,0,0,0
ENSG00000280711.1,0,0,0,0,0,0
ENSG00000077684.16,5545,4206,4751,3915,4019,4089
ENSG00000151466.12,981,730,779,870,676,878
ENSG00000275647.1,0,0,0,0,0,0
ENSG00000151470.13,604,456,518,600,448,666
ENSG00000251345.2,0,0,0,0,0,0
ENSG00000248958.2,0,0,0,0,0,0
ENSG00000251195.1,0,0,0,0,0,0
ENSG00000250193.1,0,0,0,0,0,0
ENSG00000287748.1,0,0,0,0,0,0
ENSG00000246876.7,0,0,0,0,0,0
ENSG00000249618.6,0,0,2,0,0,1
ENSG00000234125.5,0,0,0,0,1,0
ENSG00000251326.2,0,0,0,0,0,0
ENSG00000248877.2,0,0,0,0,0,0
ENSG00000249018.2,0,0,0,0,0,0
ENSG00000280059.1,0,0,0,0,0,0
ENSG00000250503.1,0,0,0,0,0,0
ENSG00000287924.1,0,0,0,0,0,0
ENSG00000250213.2,0,0,0,0,0,0
ENSG00000206782.1,0,0,0,0,0,0
ENSG00000250102.6,0,0,0,0,0,0
ENSG00000248715.2,0,0,0,0,0,0
ENSG00000241392.3,0,0,0,0,0,0
ENSG00000251676.2,1,0,0,0,0,0
ENSG00000252014.1,0,0,0,0,0,0
ENSG00000249416.2,0,0,0,0,0,0
ENSG00000184139.8,0,0,0,0,0,0
ENSG00000251555.1,0,0,0,0,0,0
ENSG00000251598.2,0,0,0,0,0,0
ENSG00000249463.1,0,0,0,0,0,0
ENSG00000251051.1,0,0,0,0,0,0
ENSG00000248369.1,0,0,0,0,0,0
ENSG00000251398.2,0,0,0,0,1,0
ENSG00000249038.2,0,0,0,0,0,0
ENSG00000251488.1,0,0,0,0,0,0
ENSG00000249513.2,0,0,0,0,0,0
ENSG00000250241.7,6,8,13,13,10,12
ENSG00000248735.2,0,0,0,0,0,0
ENSG00000138650.9,425,461,395,618,219,405
ENSG00000286467.1,1,0,0,0,0,0
ENSG00000250191.1,0,0,0,0,0,0
ENSG00000251388.1,0,0,3,0,0,0
ENSG00000251199.6,1,2,0,0,1,0
ENSG00000286253.1,0,0,0,0,0,0
ENSG00000254535.4,480,408,440,477,360,472
ENSG00000248191.1,0,0,0,0,0,0
ENSG00000251291.2,0,0,0,0,0,0
ENSG00000249000.1,0,0,0,0,0,0
ENSG00000249847.1,0,0,0,0,0,0
ENSG00000251228.1,1,0,0,0,0,0
ENSG00000241411.1,0,2,1,0,1,2
ENSG00000250144.1,429,691,437,627,438,429
ENSG00000248434.1,0,0,0,0,0,0
ENSG00000248456.1,16,15,16,14,7,8
ENSG00000283432.1,0,0,0,0,0,0
ENSG00000250834.1,0,0,2,1,0,0
ENSG00000248104.1,0,0,0,0,0,0
ENSG00000250865.1,0,0,0,0,0,0
ENSG00000248330.5,0,0,1,1,0,0
ENSG00000207322.1,0,0,0,0,0,0
ENSG00000251492.1,0,0,0,0,0,0
ENSG00000261166.1,0,0,0,0,0,0
ENSG00000251567.5,0,0,0,0,0,0
ENSG00000250665.1,0,0,0,0,0,0
ENSG00000249311.4,1,1,1,1,0,1
ENSG00000279749.1,0,0,0,0,0,0
ENSG00000248869.7,32,37,26,36,21,30
ENSG00000250341.1,0,0,0,0,0,0
ENSG00000250813.1,0,0,0,0,0,0
ENSG00000251440.2,0,0,0,0,0,0
ENSG00000213448.3,2,1,0,1,1,3
ENSG00000189184.12,1855,1484,1541,1743,1360,1567
ENSG00000251632.1,0,0,0,0,0,0
ENSG00000280352.1,0,0,0,0,0,0
ENSG00000250126.1,0,0,0,0,0,0
ENSG00000250777.2,1,0,0,2,0,0
ENSG00000287441.1,0,1,0,0,0,0
ENSG00000250034.1,0,0,0,0,0,0
ENSG00000287144.1,4,0,1,2,1,4
ENSG00000248307.6,7,9,12,27,5,15
ENSG00000250033.5,16,17,17,29,16,23
ENSG00000151012.13,3580,2538,3292,4866,2839,5055
ENSG00000249091.1,0,0,0,0,1,0
ENSG00000248397.1,0,0,0,0,2,0
ENSG00000251372.7,0,0,1,0,0,0
ENSG00000249381.1,0,0,0,0,0,0
ENSG00000248305.1,1,0,0,0,0,0
ENSG00000248795.1,8,10,4,7,5,7
ENSG00000250977.1,0,0,0,0,0,0
ENSG00000250501.3,0,0,0,0,0,0
ENSG00000250195.1,0,1,0,1,1,1
ENSG00000250577.1,0,0,0,0,0,0
ENSG00000151014.6,1658,1473,1368,1358,1198,1411
ENSG00000109381.21,4042,3133,3548,3635,2878,3427
ENSG00000252503.1,25,13,18,18,16,11
ENSG00000240723.3,0,0,0,2,0,1
ENSG00000179967.11,86,140,76,75,66,86
ENSG00000276396.1,0,0,1,0,0,0
ENSG00000288785.1,3,2,3,3,2,2
ENSG00000265892.2,0,0,0,0,0,0
ENSG00000207384.1,0,0,0,0,0,0
ENSG00000252362.1,0,0,0,0,0,0
ENSG00000206722.1,0,0,0,0,0,0
ENSG00000137463.5,30,30,28,30,25,32
ENSG00000109390.13,2493,2577,2041,2149,1681,2072
ENSG00000164134.14,14314,10377,12078,12294,10543,12613
ENSG00000200520.1,0,0,0,0,0,0
ENSG00000273247.7,244,199,208,219,199,189
ENSG00000293157.1,2,0,0,2,1,1
ENSG00000248863.3,1,0,3,0,0,0
ENSG00000239005.1,0,0,0,0,2,1
ENSG00000172007.7,1521,1299,1425,1588,1131,1796
ENSG00000145391.14,11058,8735,9544,11284,7963,12062
ENSG00000249302.2,0,1,0,0,0,0
ENSG00000272717.1,48,60,41,54,41,62
ENSG00000286896.2,5,7,7,4,5,3
ENSG00000261268.2,0,4,5,1,2,7
ENSG00000085871.9,1310,1109,1120,1366,1021,1291
ENSG00000201533.1,0,0,0,0,0,0
ENSG00000178458.5,44,73,47,53,42,39
ENSG00000196782.13,2405,1764,2046,1872,1686,1732
ENSG00000286320.2,2,0,3,0,1,0
ENSG00000252233.1,1,0,0,0,0,0
ENSG00000290022.1,2,1,4,1,1,0
ENSG00000250698.1,0,0,0,0,0,0
ENSG00000153130.18,10968,8944,9754,9290,7969,11457
ENSG00000196951.13,62,52,42,48,42,45
ENSG00000249754.2,0,0,0,0,0,0
ENSG00000241923.2,26,32,29,23,13,24
ENSG00000153132.13,2460,2068,2094,1390,1831,1406
ENSG00000205301.12,0,0,0,0,0,0
ENSG00000280262.1,1,0,0,0,0,0
ENSG00000179387.10,6971,5456,6263,6221,5174,7336
ENSG00000109424.4,11,4,4,7,3,5
ENSG00000287449.1,3,0,1,2,0,1
ENSG00000242102.3,0,0,0,0,0,0
ENSG00000248621.2,0,0,0,0,0,0
